 Event ID : 200
24.5412 22.704 208.96 82 348.1
24.5412 19.8025 229.44 90 829.7
26.9953 18.4534 234.56 92 168.7
22.0871 18.4534 275.52 108 328.3
22.0871 15.5519 293.44 115 376.5
24.5412 14.2027 293.44 115 114.1
19.6329 14.2027 329.28 129 269.65
22.0871 9.95207 336.96 132 82.65
17.1788 15.5519 336.96 132 73.75
19.6329 11.3012 349.76 137 263.15
17.1788 9.95207 388.16 152 256.2
14.7247 11.3012 388.16 152 71.9
68.7153 53.8078 393.28 154 281
17.1788 7.05056 426.56 167 235.1
39.2659 -39.7067 459.84 180 30.65
14.7247 5.70141 470.08 184 236.9
44.1741 36.8052 475.2 186 30.1
12.2706 7.05056 480.32 188 74.1
7.36235 -100.565 480.32 188 30.75
-49.0824 28.3038 482.88 189 32.45
-7.62939e-06 -87.813 490.56 192 31.1
-132.522 -116.354 493.12 193 30.35
53.9906 73.7119 495.68 194 33.6
220.871 70.8781 498.24 195 30.25
-83.44 -28.3038 498.24 195 30
4.90822 -39.7067 498.24 195 33.25
44.1741 -155.891 498.24 195 33.65
-26.9953 -134.57 498.24 195 31.85
147.247 90.85 498.24 195 32.05
-78.5318 215.4 500.8 196 31.15
117.798 53.8078 500.8 196 33.3
191.421 -99.3513 500.8 196 34.15
-71.1694 32.5545 503.36 197 30.65
-14.7247 -206.899 503.36 197 30.55
58.8988 73.7119 503.36 197 84.8
-166.88 11.369 513.6 201 32.35
14.7247 2.7999 516.16 202 219.4
68.7153 99.2159 518.72 203 30.1
-2.45413 52.4586 521.28 204 32.85
-49.0824 164.393 526.4 206 31.3
-2.45413 35.456 526.4 206 34
49.0824 82.2132 526.4 206 32.05
76.0776 15.5519 528.96 207 32.5
-90.8024 41.0558 531.52 208 32.2
-2.45412 100.565 531.52 208 32.65
17.1788 100.565 531.52 208 33.3
-17.1788 86.4639 539.2 211 31.7
12.2706 100.565 541.76 212 33.2
24.5412 -201.367 549.44 215 30.45
98.1647 19.8025 559.68 219 31.2
-49.0824 158.861 577.6 226 30.8
-9.81648 -232.403 585.28 229 31.6
12.2706 1.45075 600.64 235 307.25
9.81648 2.7999 633.92 248 100.6
-88.3482 11.3012 720.96 282 31.8
12.2706 -1.45075 726.08 284 292.1
-201.238 -150.359 738.88 289 32.15
-171.788 -116.354 744 291 31.95
-103.073 28.3038 749.12 293 34.65
-51.5365 9.95207 754.24 295 33.65
-137.431 -96.3821 767.04 300 33.5
-112.889 -56.7093 787.52 308 30.65
-58.8988 73.7119 843.84 330 32.95
-49.0824 82.2132 864.32 338 32.2
-61.3529 83.5624 869.44 340 36.25
-78.5318 -5.70141 874.56 342 36.1
-53.9906 -5.70141 882.24 345 33.6
-100.619 -9.95207 882.24 345 32.9
-56.4447 58.0584 884.8 346 34.1
-98.1647 -19.8025 892.48 349 34
-61.3529 103.467 900.16 352 35.5
-73.6235 121.818 905.28 354 34.1
-39.2659 53.8078 912.96 357 38.05
-147.247 28.3716 923.2 361 32.85
-44.1741 104.816 933.44 365 33.25
-186.513 28.3716 951.36 372 31.55
-171.788 2.86764 953.92 373 34.9
-245.412 -62.3768 956.48 374 37
-56.4447 -128.97 1207.36 472 30.4
161.972 -65.3461 1250.88 489 31
206.146 -62.3768 1276.48 499 67.2
